"Zuzanna","Lena","Maja","Hanna","Zofia","Amelia","Natalia","Wiktoria","Emilia","Antonina","Laura","Anna","Nadia","Liliana"
FALSE,0.594594594594595,0.667660518779224,0.213178294573643,0.725,0.253731343283582,FALSE,0.71,0.469313365026215,0.22,0.09,0.5,FALSE,FALSE
FALSE,0.743243243243243,0.523266880827075,0.0813953488372093,0.925,0.101160862354892,FALSE,0.53,0,0.29,0.17,0.875,FALSE,TRUE
FALSE,0.716216216216216,0.721253131631384,0.321705426356589,1,0.311774461028192,FALSE,0.75,0,0.42,0.32,1,FALSE,TRUE
FALSE,0.77027027027027,0.630138002780389,0.197674418604651,1,0.190713101160862,FALSE,0.64,0,0.26,0.31,1,FALSE,TRUE
FALSE,0.918918918918919,0.57309699081281,0.461240310077519,1,0.320066334991708,FALSE,0.75,0,0.33,0.14,1,FALSE,TRUE
TRUE,0,0,0,0,0,TRUE,0,0,0,0,0,TRUE,TRUE
FALSE,0.851351351351351,0.319116052112065,0.387596899224806,0.9,0.328358208955224,FALSE,0.75,0.843562211657929,0.68,0.25,0.625,FALSE,FALSE
FALSE,0.716216216216216,0.726403497860897,0.321705426356589,0.9375,0.228855721393035,FALSE,0.43,0.652333844777945,0.1,0.2,0.5,FALSE,FALSE
FALSE,0.702702702702703,0.549743211798375,0.313953488372093,1,0.437810945273632,FALSE,0.5,0,0.21,0.44,1,FALSE,TRUE
FALSE,0.783783783783784,0.847968596711997,0.422480620155039,1,0.407960199004975,FALSE,0.43,0,0.4,0.15,1,FALSE,TRUE
FALSE,0.77027027027027,0.492702199830796,0.538759689922481,1,0.635157545605307,FALSE,0.79,0,0.13,0.38,1,FALSE,TRUE
FALSE,0.662162162162162,0.873755264548486,0.383720930232558,1,0.298507462686567,FALSE,0.78,0,0.2,0.19,1,FALSE,TRUE
FALSE,0.837837837837838,0.217830593931608,0.337209302325581,0.9625,0.321724709784411,FALSE,0.44,0.948965576840961,0.21,0.34,0.625,FALSE,FALSE
FALSE,0.675675675675676,0.847968596711997,0.255813953488372,0.9625,0.359867330016584,FALSE,0.82,0.882912380049069,0.52,0.33,0.75,FALSE,FALSE
TRUE,0,0,0,0,0,TRUE,0,0,0,0,0,TRUE,TRUE
FALSE,0.486486486486487,0.885491112710832,0.108527131782946,0.85,0.119402985074627,FALSE,1,0.843562211657929,0.25,0.08,0.25,FALSE,FALSE
FALSE,0.864864864864865,0.536946646043673,0.217054263565891,1,0.270315091210614,FALSE,0.46,0,0.17,0.36,1,FALSE,TRUE
FALSE,0.878378378378378,0.355266396881202,0.329457364341085,1,0.416252072968491,FALSE,0.42,0,0.41,0.29,1,FALSE,TRUE
FALSE,0.837837837837838,0.63823210422413,0.329457364341085,1,0.30016583747927,FALSE,0.57,0,0.33,0.12,1,FALSE,TRUE
FALSE,0.608108108108108,0.821492265740697,0.298449612403101,0.975,0.444444444444444,FALSE,0.83,0.882912380049069,0.24,0.42,0.25,FALSE,FALSE
FALSE,0.824324324324324,0.57309699081281,0.286821705426357,1,0.328358208955224,FALSE,0.63,0,0.64,0.33,0.875,FALSE,TRUE
FALSE,0.932432432432432,0,0.426356589147287,1,0.567164179104478,FALSE,0,0,0.63,0.08,1,FALSE,TRUE
FALSE,0.567567567567568,0.833697838654415,0.267441860465116,0.95,0.218905472636816,FALSE,0.88,0.89606320771118,0.41,0.27,0.75,FALSE,FALSE
FALSE,0.527027027027027,0.85070350836679,0.271317829457364,0.5375,0.462686567164179,FALSE,0.86,0.469313365026215,0.25,0.08,0.75,FALSE,FALSE
FALSE,0.702702702702703,0.58381732868179,0.124031007751938,1,0.0912106135986733,FALSE,0.71,0,0.48,0.21,1,FALSE,TRUE
FALSE,0.621621621621622,0.771662155754962,0.162790697674419,1,0.126036484245439,FALSE,0.8,0,0.38,0.08,1,FALSE,TRUE
FALSE,0.702702702702703,0.767573805729983,0.306201550387597,0.8125,0.358208955223881,FALSE,0.56,0.838123586530085,0.41,0.27,0.25,FALSE,FALSE
FALSE,0.878378378378378,0.721253131631384,0.410852713178295,1,0.235489220563847,FALSE,1,0,0,0.04,1,FALSE,TRUE
TRUE,0,0,0,0,0,TRUE,0,0,0,0,0,TRUE,TRUE
FALSE,0.743243243243243,0.889997623772394,0.356589147286822,1,0.303482587064677,FALSE,0.93,0,0.27,0.22,1,FALSE,TRUE
FALSE,0.513513513513513,0.805096321728818,0.236434108527132,0.6375,0.218905472636816,FALSE,0.83,0.247948028217937,0.29,0.14,0.5,FALSE,FALSE
FALSE,0.72972972972973,0.858688934580978,0.290697674418605,1,0.303482587064677,FALSE,0.88,0,0.31,0.13,1,FALSE,TRUE
FALSE,0.743243243243243,0.767573805729983,0.391472868217054,0.95,0.538971807628524,FALSE,0.89,0.94557164790026,0.63,0.24,0.75,FALSE,FALSE
FALSE,0.567567567567568,0.603661671809089,0.232558139534884,0.7375,0.266998341625207,FALSE,0.47,0.363237295853499,0.16,0.19,0.625,FALSE,FALSE
FALSE,0.756756756756757,0.84238293293914,0.310077519379845,1,0.507462686567164,FALSE,0.88,0,0.68,0.22,1,FALSE,TRUE
FALSE,0.621621621621622,0.922777723921154,0.13953488372093,1,0.200663349917081,FALSE,1,0,0.29,0.07,1,FALSE,TRUE
FALSE,0.459459459459459,0.84238293293914,0.0813953488372093,0.9,0.0829187396351575,FALSE,1,0.312875576684143,0.42,0.12,0.75,FALSE,FALSE
FALSE,0.432432432432432,0.898714541819543,0.337209302325581,0.8,0.280265339966833,FALSE,0.83,0.404385816560008,0.32,0.37,0.75,FALSE,FALSE
FALSE,0.675675675675676,0.47544976225663,0.372093023255814,0.4875,0.341625207296849,FALSE,0.5,0.56082360490208,0.41,0.22,0.625,FALSE,FALSE
FALSE,0.662162162162162,0.783444509828477,0.430232558139535,0.6375,0.42620232172471,FALSE,0.8,0,0.43,0.14,0.625,FALSE,FALSE
FALSE,0.945945945945946,0.47544976225663,0.313953488372093,1,0.407960199004975,FALSE,0.5,0,0.11,0.09,1,FALSE,TRUE
FALSE,0.878378378378378,0.412307408848781,0.217054263565891,1,0.250414593698176,FALSE,0.6,0,0.25,0.21,1,FALSE,TRUE
FALSE,0.594594594594595,0.808485770954891,0.275193798449612,0.9,0.271973466003317,FALSE,0.67,0.469313365026215,0.38,0.26,0.75,FALSE,FALSE
FALSE,0.702702702702703,0.217830593931608,0.387596899224806,0.775,0.30514096185738,FALSE,0.6,0.156437788342072,0.18,0.05,0.75,FALSE,FALSE
FALSE,0.554054054054054,0.898714541819543,0.302325581395349,0.9125,0.207296849087894,FALSE,1,0.51967508419557,0.76,0.29,0.75,FALSE,FALSE
FALSE,0.513513513513513,0.905009608679577,0.255813953488372,0.8125,0.30514096185738,FALSE,1,0.707656027833894,0.44,0.57,0.625,FALSE,FALSE
FALSE,0.675675675675676,0.674382448993267,0.275193798449612,0.95,0.494195688225539,FALSE,0.36,0.994561374872157,0.13,0.47,0.75,FALSE,FALSE
FALSE,0.702702702702703,0.319116052112065,0.170542635658915,1,0.217247097844113,FALSE,0.86,0,0.47,0.18,1,FALSE,TRUE
FALSE,0.756756756756757,0.508572903929289,0.352713178294574,0.8875,0.285240464344942,FALSE,0.25,0.802413690951419,0.23,0.22,0.75,FALSE,FALSE
FALSE,0.581081081081081,0.861280840134111,0.325581395348837,0.775,0.671641791044776,FALSE,0.8,0.916409591027645,0.35,0.17,0.625,FALSE,FALSE
FALSE,0.554054054054054,0.687179014747969,0.271317829457364,0.8625,0.295190713101161,FALSE,0.86,0.363237295853499,0.52,0.27,0.75,FALSE,FALSE
FALSE,0.824324324324324,0.385831077877481,0.158914728682171,1,0.167495854063018,FALSE,0.83,0,0.42,0.12,1,FALSE,TRUE
FALSE,0.891891891891892,0.137435802949594,0.290697674418605,1,0.253731343283582,FALSE,0.11,0,0,0.11,1,FALSE,TRUE
TRUE,0,0,0,0,0,TRUE,0,0,0,0,0,TRUE,TRUE
FALSE,0.918918918918919,0.137435802949594,0.337209302325581,1,0.281923714759536,FALSE,0.67,0,0.29,0.15,1,FALSE,TRUE
FALSE,0.689189189189189,0.754777239975281,0.251937984496124,0.9375,0.325041459369818,FALSE,0.78,0.312875576684143,0.47,0.2,0.75,FALSE,FALSE
FALSE,0.797297297297297,0.603661671809089,0.248062015503876,1,0.175787728026534,FALSE,0.5,0,0.38,0.16,1,FALSE,TRUE
FALSE,0.72972972972973,0.653491781794824,0.298449612403101,1,0.318407960199005,FALSE,0.6,0,0.11,0.28,1,FALSE,TRUE
TRUE,0,0,0,0,0,TRUE,0,0,0,0,0,TRUE,TRUE
FALSE,0.675675675675676,0.593987658011253,0.48062015503876,0.95,0,FALSE,0.54,0.980362226438172,0.32,0,0.75,TRUE,FALSE
FALSE,0.716216216216216,0.775667907173724,0.182170542635659,0.9,0.232172470978441,FALSE,0.75,0.868947595105977,0.33,0.12,0.75,FALSE,FALSE
TRUE,0,0,0,0,0,TRUE,0,0,0,0,0,TRUE,TRUE
FALSE,0.675675675675676,0.783444509828477,0.422480620155039,0.6375,0,FALSE,0.83,0.843562211657929,0.65,0.17,0.25,TRUE,FALSE
FALSE,0.797297297297297,0.745763053579563,0.298449612403101,1,0.30016583747927,FALSE,0.78,0,0.43,0.21,1,FALSE,TRUE
FALSE,0.702702702702703,0.779594331545476,0.635658914728682,1,0.860696517412935,FALSE,0.67,0,0.22,0.35,1,FALSE,TRUE
FALSE,0.837837837837838,0.508572903929289,0.317829457364341,1,0.313432835820896,FALSE,0.44,0,0.44,0.16,1,FALSE,TRUE
FALSE,0.608108108108108,0.861280840134111,0.294573643410853,0.85,0.341625207296849,FALSE,1,0.43917639509792,0.69,0.26,0.75,FALSE,FALSE
FALSE,0.702702702702703,0.667660518779224,0.10077519379845,1,0.131011608623549,FALSE,0.69,0,0.27,0.15,1,FALSE,TRUE
FALSE,0.891891891891892,0.492702199830796,0.484496124031008,1,0.597014925373134,FALSE,0.55,0,0.15,0.2,1,FALSE,TRUE
FALSE,0.554054054054054,0.853401209183272,0.248062015503876,0.8625,0.479270315091211,FALSE,0.57,0.495896056435873,0.39,0.18,0.75,FALSE,FALSE
FALSE,0.824324324324324,0.561763737613868,0.39922480620155,1,0.341625207296849,FALSE,0.61,0,0.52,0.34,0.875,FALSE,TRUE
FALSE,0.648648648648649,0.833697838654415,0.143410852713178,1,0.275290215588723,FALSE,0.67,0,0.25,0.16,1,FALSE,TRUE
FALSE,0.905405405405405,0.137435802949594,0.302325581395349,1,0.42620232172471,FALSE,0.38,0,0.39,0.18,1,FALSE,TRUE
FALSE,0.878378378378378,0.137435802949594,0.275193798449612,1,0.291873963515755,FALSE,0.5,0,0.34,0.32,0.875,FALSE,TRUE
FALSE,0.594594594594595,0.84238293293914,0.189922480620155,0.85,0.199004975124378,FALSE,0.78,0.735326393741223,0.44,0.16,0.5,FALSE,FALSE
FALSE,0.567567567567568,0.680883947887935,0.313953488372093,0.675,0.326699834162521,FALSE,0.5,0.312875576684143,0.22,0.18,0.375,FALSE,FALSE
FALSE,0.689189189189189,0.745763053579563,0.224806201550388,1,0.213930348258706,FALSE,0.6,0,0.38,0.39,1,FALSE,TRUE
FALSE,0.540540540540541,0.715965406233678,0.205426356589147,0.675,0.330016583747927,FALSE,0.7,0.247948028217937,0.17,0.23,0.75,FALSE,FALSE
TRUE,0,0,0,0,0,TRUE,0,0,0,0,0,TRUE,TRUE
FALSE,0.702702702702703,0.217830593931608,0.275193798449612,0.775,0.645107794361526,FALSE,0.75,0.495896056435873,0.64,0.11,0.625,FALSE,FALSE
FALSE,0.486486486486487,0.687179014747969,0.24031007751938,0.625,0.217247097844113,FALSE,0.69,0.541185831340252,0.45,0.33,0.625,FALSE,FALSE
FALSE,0.932432432432432,0.355266396881202,0.348837209302326,1,0.330016583747927,FALSE,0.75,0,0.62,0.26,1,FALSE,TRUE
FALSE,0.783783783783784,0.63823210422413,0.313953488372093,1,0.275290215588723,FALSE,0.5,0,0.28,0.18,1,FALSE,TRUE
FALSE,0.675675675675676,0.667660518779224,0.306201550387597,0.975,0.417910447761194,FALSE,0.4,0.726474591706997,0.32,0.56,0.75,FALSE,FALSE
FALSE,0.635135135135135,0.830716159137831,0.0891472868217054,1,0.283582089552239,FALSE,0.79,0,0.13,0.23,1,FALSE,TRUE
FALSE,0.675675675675676,0.561763737613868,0.527131782945736,0.8875,0.762852404643449,FALSE,0.75,0.717261393244151,0.5,0.44,0.625,FALSE,FALSE
FALSE,0.581081081081081,0.896570975522118,0.170542635658915,0.975,0.164179104477612,FALSE,0.94,0,0.48,0.48,0.875,FALSE,TRUE
FALSE,0.824324324324324,0.58381732868179,0.306201550387597,1,0.381426202321725,FALSE,0.57,0,0.25,0.24,1,FALSE,TRUE
FALSE,0.72972972972973,0.674382448993267,0.337209302325581,0.9375,0.291873963515755,FALSE,0.5,0.676112872537642,0.38,0.21,0.75,FALSE,FALSE
FALSE,0.527027027027027,0.957348156336195,0.302325581395349,0.7,0.24212271973466,FALSE,1,0.595614183439992,0.41,0.17,0.625,FALSE,FALSE
FALSE,0.851351351351351,0.58381732868179,0.348837209302326,1,0.439469320066335,FALSE,0.75,0,0.18,0.17,1,FALSE,TRUE
TRUE,0,0,0,0,0,TRUE,0,0,0,0,0,TRUE,TRUE
FALSE,0.513513513513513,0.873755264548486,0.313953488372093,0.8625,0.427860696517413,FALSE,0.92,0.51967508419557,0.33,0.18,0.75,FALSE,FALSE
FALSE,0.527027027027027,0.833697838654415,0.0348837209302326,1,0.0248756218905473,FALSE,0.63,0,0.25,0.08,1,FALSE,TRUE
FALSE,0.77027027027027,0.750321368155817,0.189922480620155,1,0.134328358208955,FALSE,0.86,0,0.39,0.13,1,FALSE,TRUE
FALSE,0.581081081081081,0,0.135658914728682,0.7875,0.129353233830846,TRUE,1,0.363237295853499,0.67,0.06,0.75,FALSE,FALSE
FALSE,0.945945945945946,0.217830593931608,0.329457364341085,1,0.530679933665008,FALSE,0.67,0,0.25,0.08,1,FALSE,TRUE
FALSE,0.662162162162162,0.715965406233678,0.406976744186047,0.875,0.346600331674959,FALSE,0.63,0.759971802685573,0.24,0.06,0.75,FALSE,FALSE
FALSE,0.567567567567568,0.523266880827075,0.228682170542636,0.7625,0.223880597014925,FALSE,1,0.363237295853499,0.81,0.16,0.75,FALSE,FALSE
FALSE,0.72972972972973,0,0.108527131782946,1,0.0779436152570481,TRUE,1,0,0.43,0.07,1,FALSE,TRUE
FALSE,0.527027027027027,0.866365168743911,0.306201550387597,0.9,0.33167495854063,FALSE,0.86,0.363237295853499,0.38,0.31,0.5,FALSE,FALSE
FALSE,0.459459459459459,0.818319750837529,0.569767441860465,0.6625,0.703150912106136,FALSE,0.89,0.676112872537642,0.27,0.12,0.25,FALSE,FALSE
FALSE,0.662162162162162,0,0.414728682170543,0.7375,0.621890547263682,FALSE,0.5,0.882912380049069,0.37,0.08,0.625,FALSE,FALSE
FALSE,0.608108108108108,0.883198856529157,0.468992248062016,0.725,0.255389718076285,FALSE,1,0.639433646815603,0.33,0.05,0.25,FALSE,FALSE
FALSE,0.608108108108108,0.750321368155817,0.197674418604651,0.75,0.240464344941957,FALSE,1,0.920267668248026,0.5,0.15,0.25,FALSE,FALSE
FALSE,0.594594594594595,0.783444509828477,0.267441860465116,0.8625,0.330016583747927,FALSE,0.67,0.66453638524055,0.2,0.2,0.75,FALSE,FALSE
FALSE,0.554054054054054,0.47544976225663,0.271317829457364,0.675,0.190713101160862,FALSE,0.56,0.51967508419557,0.21,0.19,0.5,FALSE,FALSE
FALSE,0.783783783783784,0,0.209302325581395,1,0.182421227197347,FALSE,0.5,0,0.52,0.27,1,FALSE,TRUE
FALSE,0.540540540540541,0.845195433306077,0.48062015503876,0.9625,0.679933665008292,FALSE,0.83,0.687124423315857,0.25,0.32,0.75,FALSE,FALSE
FALSE,0.675675675675676,0.811818251942861,0.294573643410853,1,0.447761194029851,FALSE,0.54,0,0.07,0.14,1,FALSE,TRUE
FALSE,0.513513513513513,0.790927584744418,0.337209302325581,0.625,0.348258706467662,FALSE,0.77,0.156437788342072,0.35,0.23,0.75,FALSE,FALSE
FALSE,0.797297297297297,0,0.321705426356589,0.8625,0.333333333333333,FALSE,0.33,0.820974173582621,0.44,0.18,0.75,FALSE,FALSE
FALSE,0.891891891891892,0.646008706878883,0.25968992248062,1,0.281923714759536,FALSE,0.4,0,0.27,0.15,1,FALSE,TRUE
FALSE,0.905405405405405,0.741097474758683,0.465116279069767,1,0.0696517412935323,FALSE,0.5,0,0.33,0.12,1,FALSE,TRUE
TRUE,0,0,0,0,0,TRUE,0,0,0,0,0,TRUE,TRUE
FALSE,0.72972972972973,0.549743211798375,0.395348837209302,1,0.51575456053068,FALSE,0.48,0,0.2,0.41,1,FALSE,TRUE
FALSE,0.783783783783784,0.787221346904295,0.313953488372093,1,0.316749585406302,FALSE,0.86,0,0.45,0.3,1,FALSE,TRUE
TRUE,0,0,0,0,0,TRUE,0,0,0,0,0,TRUE,TRUE
FALSE,0.783783783783784,0,0.27906976744186,0.925,0.218905472636816,FALSE,0.4,0.873699181586223,0.59,0.17,0.75,FALSE,FALSE
FALSE,0.932432432432432,0.47544976225663,0.531007751937985,1,0.570480928689884,FALSE,0.63,0,0.25,0.2,1,FALSE,TRUE
FALSE,0.756756756756757,0.536946646043673,0.290697674418605,0.95,0.248756218905473,FALSE,0.42,0.775023513809374,0.22,0.27,0.75,FALSE,FALSE
FALSE,0.905405405405405,0,0.468992248062016,0.825,0.543946932006633,FALSE,0,0.854061408024395,0.14,0.07,0.75,FALSE,FALSE
FALSE,0.756756756756757,0.787221346904295,0.313953488372093,1,0.27363184079602,FALSE,0.78,0,0.61,0.23,1,FALSE,TRUE
FALSE,0.77027027027027,0.593987658011253,0.275193798449612,1,0.286898839137645,FALSE,0.5,0,0.31,0.42,1,FALSE,TRUE
FALSE,0.567567567567568,0.754777239975281,0.0348837209302326,1,0.222222222222222,FALSE,0.57,0,0.13,0.15,1,FALSE,TRUE
FALSE,0.77027027027027,0.319116052112065,0.344961240310078,0.925,0.442786069651741,FALSE,0.5,0.864093816175966,0.29,0.35,0.75,FALSE,FALSE
FALSE,0.716216216216216,0.653491781794824,0.22093023255814,0.9375,0.217247097844113,FALSE,1,0.991792112871747,0.19,0.21,0.75,FALSE,FALSE
FALSE,0.635135135135135,0.815095648071091,0.472868217054264,0.85,0.550580431177446,FALSE,0.77,0.717261393244151,0.55,0.33,0.625,FALSE,FALSE
FALSE,0.702702702702703,0.736319461598892,0.352713178294574,0.925,0.447761194029851,FALSE,0.57,0.707656027833894,0.08,0.36,0.75,FALSE,FALSE
FALSE,0.72972972972973,0.900835181834772,0.329457364341085,1,0.4212271973466,FALSE,1,0,0.5,0.1,1,FALSE,TRUE
FALSE,0.527027027027027,0.217830593931608,0.437984496124031,0.7875,0.669983416252073,FALSE,0.44,0.312875576684143,0.28,0.29,0.25,FALSE,FALSE
FALSE,0.648648648648649,0.674382448993267,0.255813953488372,0.8125,0.220563847429519,FALSE,1,0,0.69,0.13,0.75,FALSE,FALSE
TRUE,0,0,0,0,0,TRUE,0,0,0,0,0,TRUE,TRUE
FALSE,0.5,0.630138002780389,0.635658914728682,0.8125,0.598673300165838,FALSE,0.73,0.611185324071435,0.27,0.19,0.25,FALSE,FALSE
FALSE,0.932432432432432,0.355266396881202,0.751937984496124,1,0.73134328358209,FALSE,0.43,0,0.25,0.13,1,FALSE,TRUE
FALSE,0.581081081081081,0.745763053579563,0.341085271317829,0.925,0.417910447761194,FALSE,0.57,0.404385816560008,0.17,0.18,0.75,FALSE,FALSE
TRUE,0,0,0,0,0,TRUE,0,0,0,0,0,TRUE,TRUE
FALSE,0.891891891891892,0.47544976225663,0.453488372093023,1,0.42620232172471,FALSE,0.71,0,0.45,0.29,0.875,FALSE,TRUE
FALSE,0.878378378378378,0.456551855061659,0.410852713178295,1,0.621890547263682,FALSE,0.36,0,0.21,0.28,1,FALSE,TRUE
FALSE,0.527027027027027,0.549743211798375,0.213178294573643,0.975,0.149253731343284,FALSE,0.6,0.312875576684143,0.33,0.22,0.75,FALSE,FALSE
FALSE,0.472972972972973,0.715965406233678,0.329457364341085,0.725,0.479270315091211,FALSE,0.77,0.312875576684143,0.3,0.24,0.75,FALSE,FALSE
FALSE,0.756756756756757,0.646008706878883,0.306201550387597,0.9125,0.33665008291874,FALSE,0.8,0.958851479293491,0.29,0.14,0.75,FALSE,FALSE
FALSE,0.878378378378378,0.523266880827075,0.286821705426357,1,0.203980099502488,FALSE,1,0,0.43,0.05,1,FALSE,TRUE
FALSE,0.662162162162162,0.710532793762404,0.201550387596899,0.9625,0.361525704809287,FALSE,0.7,0.90442312719375,0.41,0.29,0.75,FALSE,FALSE
FALSE,0.905405405405405,0.355266396881202,0.321705426356589,1,0.301824212271973,FALSE,0.47,0,0.35,0.13,1,FALSE,TRUE
FALSE,0.756756756756757,0.523266880827075,0.147286821705426,0.925,0.135986733001658,FALSE,0.36,0,0.31,0.16,0.75,FALSE,TRUE
TRUE,0,0,0,0,0,TRUE,0,0,0,0,0,TRUE,TRUE
FALSE,0.635135135135135,0.745763053579563,0.205426356589147,1,0.338308457711443,FALSE,0.54,0,0.42,0.4,1,FALSE,TRUE
FALSE,0.783783783783784,0.456551855061659,0.310077519379845,0.875,0.507462686567164,FALSE,0.64,0.595614183439992,0.4,0.2,0.75,FALSE,FALSE
FALSE,0.783783783783784,0.593987658011253,0.158914728682171,1,0.258706467661692,FALSE,0.71,0,0.38,0.13,1,FALSE,TRUE
FALSE,0.716216216216216,0.612885565206223,0.193798449612403,1,0.276948590381426,FALSE,0.47,0,0.34,0.17,1,FALSE,TRUE
FALSE,0.675675675675676,0.62169936962293,0.313953488372093,0.975,0.346600331674959,FALSE,0.55,0.927791432326084,0.16,0.56,0.75,FALSE,FALSE
FALSE,0.594594594594595,0.818319750837529,0.0852713178294574,1,0.0845771144278607,FALSE,1,0,0.25,0.24,1,FALSE,TRUE
FALSE,0.797297297297297,0.549743211798375,0.306201550387597,0.95,0.298507462686567,FALSE,0.73,0.912484413458487,0.04,0.32,0.625,FALSE,FALSE
FALSE,0.878378378378378,0.412307408848781,0.348837209302326,1,0.533996683250415,FALSE,0.42,0,0.1,0.39,1,FALSE,TRUE
FALSE,0.837837837837838,0.58381732868179,0.275193798449612,1,0.270315091210614,FALSE,0.55,0,0.29,0.28,1,FALSE,TRUE
FALSE,0.621621621621622,0.876158663082486,0.468992248062016,0.9125,0.417910447761194,FALSE,0.67,0.697623619682323,0.52,0.29,0.75,FALSE,FALSE
